skill,group_skills,title,role,short_role,,,,,,,,,
AWS Data-driven Workflows,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AWS Lake Formation-Build a Secure Data Lake,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon CloudSearch-Managed Search Service,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AWS Data Pipeline-Orchestration Service for Periodic,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon Kinesis-Work with Real-time Streaming Data,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon Elasticsearch Service-Run and Scale Elasticsearch Clusters,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon EMR-Hosted Hadoop Framework,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon Managed Streaming for Apache Kafka,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AWS Glue-Prepare and Load Data,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon QuickSight-Fast Business Analytics Service,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Power BI Embedded,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Data Factory,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
R Server for HDInsight,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
SQL Data Warehouse,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Event Hubs,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Analysis Services,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Data Lake Analytics,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Content moderator,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Databricks,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
HDInsight Platform,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Data Explorer,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Data Catalog,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Stream Analytics,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Dataproc,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Google Data Studio,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Pub/Sub,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Life Sciences,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Dataprep,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Composer,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Google Marketing Platform,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Data Catalog,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Data Fusion,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
BigQuery Programming Language,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Dataflow,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure SQL Database,Cloud Databases,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Database for MySQL,Cloud Databases,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure SQL Database Edge,Cloud Databases,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
SQL Server Managed Instance,Cloud Databases,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Cosmos DB Database,Cloud Databases,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Database for PostgreSQL,Cloud Databases,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Table Storage,Cloud Databases,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Cache for Redis,Cloud Databases,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Database for MariaDB,Cloud Databases,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
SQL Server Stretch Database,Cloud Databases,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Spanner,Cloud Databases,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Memorystore,Cloud Databases,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud SQL,Cloud Databases,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Bigtable,Cloud Databases,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Firebase Realtime Database,Cloud Databases,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Firestore,Cloud Databases,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Infrastructure,Cloud Developer Tools,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
App Configuration,Cloud Developer Tools,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Visual Studio Code IDE,Cloud Developer Tools,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Visual Studio IDE,Cloud Developer Tools,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Developer Tool Integrations,Cloud Developer Tools,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
SDK Packages,Cloud Developer Tools,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Lab Services,Cloud Developer Tools,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Tools for Eclipse,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Gradle App Engine Plugin,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Tekton System,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Tools for Visual Studio,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Code,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud SDK,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Tools for PowerShell,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Build,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Test Lab,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Firebase Crashlytics,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Scheduler,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Gradle Build Tool,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
