skill,group_skills,title,role
Cloud Test Lab,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Firebase Crashlytics,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Scheduler,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Gradle Build Tool,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Tasks,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Code for IntelliJ,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Container Registry,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Source Repositories,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Active Directory (SSO),Cloud Identities and Access,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Active Directory Domain Services,Cloud Identities and Access,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Active Directory B2C,Cloud Identities and Access,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
AWS Identity & Access Management (IAM),Cloud Identity & Access Management,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
AWS Single Sign On,Cloud Identity & Access Management,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
AWS CloudFront,Cloud Identity & Access Management,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
Amazon DynamoDB Database,Cloud Identity & Access Management,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
AWS Cognito,Cloud Identity & Access Management,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
AWS API Gateway,Cloud Identity & Access Management,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
AWS Athena - Serverless Interactive Query Service,Cloud Identity & Access Management,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
AWS Simple Storage Service (Amazon S3),Cloud Identity & Access Management,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
AWS Simple Notification Service (SNS),Cloud Identity & Access Management,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
AWS Active Directory,Cloud Identity & Access Management,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure API for FHIR,Cloud Integration,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Service Bus,Cloud Integration,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
API Management and Monetization,Cloud Integration,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Event Grid,Cloud Integration,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Logic Apps,Cloud Integration,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
AWS Fargate Compute Engine for ECS and EKS,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
AWS CloudTrail Service,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
Amazon SageMaker Cloud Machine-Learning,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
Amazon Elastic Container Service for Kubernetes,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
Amazon Virtual Private Cloud (VPC),Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
Amazon GuardDuty Service,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
Amazon Macie Security Service,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
Amazon Route 53 (Route 53) Service,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
Amazon Elastic Compute Cloud (Amazon EC2),Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
AWS Glue (ETL) Service,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
AWS Database Migration Service,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
AWS Key Management Service,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
AWS Migration Hub Service,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
Amazon Relational Database Service (RDS),Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
Amazon Simple Queue Service (SQS),Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
AWS Certificate Manager,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Managed Applications,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Lighthouse,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Automation Platform,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Cost Management,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
